('loops in python', 'beginner student', 'videogame design')
('loops in python', 'beginner student', 'psychology')
('loops in python', 'beginner student', 'full-stack web development')
('loops in python', 'intermediate student', 'videogame design')
('loops in python', 'intermediate student', 'psychology')
('loops in python', 'intermediate student', 'full-stack web development')
('loops in python', 'expert in other programming languages but learning python', 'videogame design')
('loops in python', 'expert in other programming languages but learning python', 'psychology')
('loops in python', 'expert in other programming languages but learning python', 'full-stack web development')
('linked lists in python', 'beginner student', 'videogame design')
('linked lists in python', 'beginner student', 'psychology')
('linked lists in python', 'beginner student', 'full-stack web development')
('linked lists in python', 'intermediate student', 'videogame design')
('linked lists in python', 'intermediate student', 'psychology')
('linked lists in python', 'intermediate student', 'full-stack web development')
('linked lists in python', 'expert in other programming languages but learning python', 'videogame design')
('linked lists in python', 'expert in other programming languages but learning python', 'psychology')
('linked lists in python', 'expert in other programming languages but learning python', 'full-stack web development')
('asynchronous programming in python', 'beginner student', 'videogame design')
('asynchronous programming in python', 'beginner student', 'psychology')
('asynchronous programming in python', 'beginner student', 'full-stack web development')
('asynchronous programming in python', 'intermediate student', 'videogame design')
('asynchronous programming in python', 'intermediate student', 'psychology')
('asynchronous programming in python', 'intermediate student', 'full-stack web development')
('asynchronous programming in python', 'expert in other programming languages but learning python', 'videogame design')
('asynchronous programming in python', 'expert in other programming languages but learning python', 'psychology')
('asynchronous programming in python', 'expert in other programming languages but learning python', 'full-stack web development')
('loops in python', 'computer science student', 'computer science')
('linked lists in python', 'computer science student', 'computer science')
('asynchronous programming in python', 'computer science student', 'computer science')
